occupancy%,day,time
36,Tuesday,4PM
28,Tuesday,5PM
32,Tuesday,5PM
34,Tuesday,5PM
30,Tuesday,5PM
26,Tuesday,5PM
28,Tuesday,6PM
22,Tuesday,6PM
20,Tuesday,6PM
18,Tuesday,6PM
20,Tuesday,6PM
20,Wednesday,7AM
18,Wednesday,7AM
22,Wednesday,7AM
24,Wednesday,7AM
20,Wednesday,7AM
40,Wednesday,8AM
38,Wednesday,8AM
42,Wednesday,8AM
44,Wednesday,8AM
42,Wednesday,8AM
70,Wednesday,9AM
72,Wednesday,9AM
68,Wednesday,9AM
74,Wednesday,9AM
70,Wednesday,9AM
90,Wednesday,10AM
92,Wednesday,10AM
88,Wednesday,10AM
94,Wednesday,10AM
96,Wednesday,10AM
94,Wednesday,11AM
98,Wednesday,11AM
96,Wednesday,11AM
100,Wednesday,11AM
92,Wednesday,11AM
100,Wednesday,12PM
98,Wednesday,12PM
96,Wednesday,12PM
96,Wednesday,12PM
94,Wednesday,12PM
74,Wednesday,1PM
76,Wednesday,1PM
78,Wednesday,1PM
80,Wednesday,1PM
82,Wednesday,1PM
66,Wednesday,2PM
70,Wednesday,2PM
64,Wednesday,2PM
68,Wednesday,2PM
62,Wednesday,2PM
58,Wednesday,3PM
60,Wednesday,3PM
56,Wednesday,3PM
52,Wednesday,3PM
54,Wednesday,3PM
38,Wednesday,4PM
40,Wednesday,4PM
34,Wednesday,4PM
32,Wednesday,4PM
36,Wednesday,4PM
28,Wednesday,5PM
32,Wednesday,5PM
34,Wednesday,5PM
30,Wednesday,5PM
26,Wednesday,5PM
28,Wednesday,6PM
22,Wednesday,6PM
20,Wednesday,6PM
18,Wednesday,6PM
20,Wednesday,6PM
20,Thursday,7AM
18,Thursday,7AM
22,Thursday,7AM
24,Thursday,7AM
20,Thursday,7AM
40,Thursday,8AM
38,Thursday,8AM
42,Thursday,8AM
44,Thursday,8AM
42,Thursday,8AM
70,Thursday,9AM
72,Thursday,9AM
68,Thursday,9AM
74,Thursday,9AM
70,Thursday,9AM
90,Thursday,10AM
92,Thursday,10AM
88,Thursday,10AM
94,Thursday,10AM
96,Thursday,10AM
94,Thursday,11AM
98,Thursday,11AM
96,Thursday,11AM
100,Thursday,11AM
92,Thursday,11AM
100,Thursday,12PM
98,Thursday,12PM
96,Thursday,12PM
96,Thursday,12PM
94,Thursday,12PM
74,Thursday,1PM
76,Thursday,1PM
78,Thursday,1PM
80,Thursday,1PM
82,Thursday,1PM
66,Thursday,2PM
70,Thursday,2PM
64,Thursday,2PM
68,Thursday,2PM
62,Thursday,2PM
58,Thursday,3PM
60,Thursday,3PM
56,Thursday,3PM
52,Thursday,3PM
54,Thursday,3PM
38,Thursday,4PM
40,Thursday,4PM
34,Thursday,4PM
32,Thursday,4PM
36,Thursday,4PM
28,Thursday,5PM
32,Thursday,5PM
34,Thursday,5PM
30,Thursday,5PM
26,Thursday,5PM
28,Thursday,6PM
22,Thursday,6PM
20,Thursday,6PM
18,Thursday,6PM
20,Thursday,6PM
20,Friday,7AM
18,Friday,7AM
22,Friday,7AM
24,Friday,7AM
20,Friday,7AM
40,Friday,8AM
38,Friday,8AM
42,Friday,8AM
44,Friday,8AM
42,Friday,8AM
70,Friday,9AM
72,Friday,9AM
68,Friday,9AM
74,Friday,9AM
70,Friday,9AM
90,Friday,10AM
92,Friday,10AM
88,Friday,10AM
94,Friday,10AM
96,Friday,10AM
94,Friday,11AM
98,Friday,11AM
96,Friday,11AM
100,Friday,11AM
92,Friday,11AM
100,Friday,12PM
98,Friday,12PM
96,Friday,12PM
96,Friday,12PM
94,Friday,12PM
74,Friday,1PM
76,Friday,1PM
78,Friday,1PM
80,Friday,1PM
82,Friday,1PM
66,Friday,2PM
70,Friday,2PM
64,Friday,2PM
68,Friday,2PM
62,Friday,2PM
58,Friday,3PM
60,Friday,3PM
56,Friday,3PM
52,Friday,3PM
54,Friday,3PM
38,Friday,4PM
40,Friday,4PM
34,Friday,4PM
32,Friday,4PM
36,Friday,4PM
28,Friday,5PM
32,Friday,5PM
34,Friday,5PM
30,Friday,5PM
26,Friday,5PM
28,Friday,6PM
22,Friday,6PM
20,Friday,6PM
18,Friday,6PM
20,Friday,6PM
